BOOK TITLE,AUTHOR,DATE OF PUBLICATION,Quantity
The Tortilla Curtain,T. Coraghessan Boyle,1995,1
Where The Wild Things Are,Sendak,1963,1
Lord of the Flies,William Golding,1954,1
Literature & Composition,"Carol Jago, Renee H. Shea, Lawrence Scanlon, Robin Disin Aufses",2011,1
Lit Up,David Denby,2016,1
Foundation of Language and Literature,"Renee H. Shea, John Golden, Tracy Scholz",2018,1
Nexus,Yuval Noah Harari,2024,1
The Age of Spiritual Machines,Ray Kurzwell,1999,1
The Faith of Graffiti,"Norman Mailer, Jon Naar",2009,1
The Concord Hymn and Other Poems,Ralph Waldo Emerson,1996,1
The Edge Chronicles,"Paul Stewart , Chris Riddell",2003,1
Homo Deus,Yuval Noah Harari,2017,1
The Future of Music,"David Kusek, Rerd Leonhard",2005,1
"BACA Art, Collaboration & Mural Making",Mario Ontiveros,2017,1
Set the Night on Fire,"Mike Davis, Jon Wiener",2020,1
The One World Schoolhouse,Salman Khan,2012,1
Mediactive,Dab Gillmore,2010,1
SUBCULTURE The Meaning of Style,Dick Hebdige,1979,1
A Confederacy of Dunces,John Kennedy Toole,1980,1
The Attention Merchants,Tim Wu,2016,1
The NPR Curious Listener's Guide to Blues,David Evans,2005,1
Abundance ,"Ezra Klein, Derek Thompson",2025,1
The Norton Anthology of English Literature,"Alfred David, E. Talbot Donaldson, George M. Logan, Hallett Smith, Barbara K. Lewalski, Robert M. Adams, Lawrence Lipking, Samuel Holt Monk, Jack Stillinger, Carol T. Christ, George H. Ford, Jon Stallworthy, David Daiches. ",1916,1
Hot Money,Dick Francis,1987,1
The Elements of Style,William Strunk Jr. and E.B. White,1935,1
Why We're Polarized,Ezra Klein ,2020,1
The Death and Life of American Journalism,McChesney Nichols,2010,1
The Shape of Things to Come,Greil Marcus,2006,1
MLA Handbook for Writers of Research Papers,Joseph Gibaldi,1942,1
Drive,Daniel H. Pink,2009,1
The North Anthology Theory and Criticism,"William E. Cain, Laurie A. Finke, Barbara E. Johnson, John McGowan, Jeffrey J. Williams. ",2001,2
Eruption in the Canyon 212 Days & Nights with the Genius of Eddie Van Halen,Andrew Bennett,2020,1
The Godfather Notebook,Francis Ford Coppola,2016,1
The Message,Ta-Nehisi Coates,2024,1
The New Bloomsday Book,Harry Blamires,1996,1
Super Bloom,Nicholas Carr,2025,1
Can't Stop Won't Stop,Jeff Chang,2005,1
Yearbook 2024-2025,Yearbook Class,2025,1
The Intellectual Devotional American History ,"David S. Kidder, Noah D. Oppenheim",2007,1
Cognitive Surplus,Clay Shirky,2010,1
Naked,David Sedaris,1997,1
Mixed Signals,Rebecca Charbonneau,2025,1
Blutopia,Graham Lock,1999,1
A Fire in the Mind,Joseph Campbell,1991,1
The Signifying Monkey,Henry Louis Gates Jr.,1988,1
From Lucy to Language,"Donald Johanson, Blake Edgar",1996,1
English Literature in Context,Paul Poplawski,2008,1
Vocabulary for Achievement,Margaret Ann Richek,1987,2
There are no shortcuts,Rafe Esquith,2003,1
Teach Like a Champion,Doug Lemov,2015,1
Vocabulary for Achievement Teacher's Edition,Margaret Ann Richek,1987,1
Holt Literature & Language Arts,Beers Odell,2003,1
Reading Reasons ,Kelly Gallagher,2003,1
Deeper Reading,Kelly Gallagher,2004,1
Disposable A History of Skateboard Art,Sean Cliver,2004,1
Tape Op,Larry Crane,2000,1
High Tech Los Angeles Yearbook 2021-2022,Yearbook Class,2022,1
L.A. Graffiti  Black Book,David Brafman,2021,1
Another Country ,James Baldwin,1960,1
5000 Awesome Facts,National Geographic Kids,2012,1
Yearbook 2019-2020,Yearbook Class,2020,1
